id,user,uid,version,changeset,timestamp
16488483,RoadGeek_MD99,475877,3,65725256,2018-12-23T21:47:38Z
16488495,RoadGeek_MD99,475877,3,65722134,2018-12-23T18:48:16Z
16488500,DaveHansenTiger,7168,1,306903,2007-12-15T06:33:46Z
16488510,maxerickson,360392,2,40555669,2016-07-07T20:48:24Z
16488524,maxerickson,360392,2,40444451,2016-07-02T17:10:43Z
16488533,bhavana naga,5677293,3,61081156,2018-07-26T09:00:32Z
16488564,DaveHansenTiger,7168,1,306903,2007-12-15T06:34:08Z
16488567,NE2,207745,5,9924343,2011-11-23T19:14:58Z
16488574,MrNyanUniverse,7122319,6,55851060,2018-01-29T07:13:17Z
16488578,ingalls,305985,4,20624693,2014-02-17T21:20:29Z
16488582,hoream_telenav,4437318,8,63308928,2018-10-08T12:11:16Z
16488587,DaveHansenTiger,7168,1,306903,2007-12-15T06:34:19Z
16488590,AmaryllisG,2072472,4,30465591,2015-04-25T01:59:18Z
16488593,DaveHansenTiger,7168,1,306903,2007-12-15T06:34:22Z
16488594,MrNyanUniverse,7122319,2,58497792,2018-04-28T08:04:55Z
16488605,Caboosey,171516,4,41010974,2016-07-25T12:34:27Z
16488607,dtanderson,60283,2,12037195,2012-06-27T15:11:03Z
16488609,MrNyanUniverse,7122319,5,55070744,2018-01-01T08:02:51Z
16488611,DaveHansenTiger,7168,1,306903,2007-12-15T06:34:31Z
16488621,maxerickson,360392,4,41099562,2016-07-29T04:29:05Z
16488625,maxerickson,360392,3,41099562,2016-07-29T04:29:05Z
16488633,maxugglan,107681,2,4018480,2010-03-02T17:40:24Z
16488641,hoream_telenav,4437318,6,63565483,2018-10-16T06:52:26Z
16488646,maxerickson,360392,2,40445370,2016-07-02T18:15:35Z
16488649,MikeN,135163,2,7296400,2011-02-15T16:35:54Z
16488675,RoadGeek_MD99,475877,3,65722134,2018-12-23T18:48:16Z
16488691,maxerickson,360392,2,40445370,2016-07-02T18:15:35Z
16488702,maxerickson,360392,3,40555669,2016-07-07T20:48:23Z
16488709,JMDeMai,922360,2,22068038,2014-05-01T16:53:41Z
16488717,JMDeMai,922360,2,22068038,2014-05-01T16:53:41Z
16488719,JMDeMai,922360,2,22068038,2014-05-01T16:53:41Z
16488720,JMDeMai,922360,2,22068038,2014-05-01T16:53:42Z
16488737,bot-mode,451693,2,14394151,2012-12-24T19:12:49Z
16488744,bot-mode,451693,2,15793182,2013-04-20T06:31:18Z
16488749,bot-mode,451693,2,15793182,2013-04-20T06:31:18Z
16488751,MrNyanUniverse,7122319,3,56314371,2018-02-13T06:37:41Z
16488763,bbmiller,451048,9,47783085,2017-04-14T14:57:33Z
16488766,ingalls,305985,3,20624485,2014-02-17T21:11:01Z
